_id,Date,Holiday Name,Information,More Information,Jurisdiction
14,20211227,Christmas (additional day),"As 25 December (Christmas Day) falls on a Saturday in 2021, there is an additional public holiday on the Monday.",https://www.cmtedd.act.gov.au/communication/holidays,act
15,20211228,Boxing Day (additional day),"As 26 December (Boxing Day) falls on a Sunday in 2021, there is an additional public holiday on the Tuesday.",https://www.cmtedd.act.gov.au/communication/holidays,act
16,20210101,New Year's Day,New Year's Day is the first day of the calendar year and is celebrated each January 1st,https://www.nsw.gov.au/about-new-south-wales/public-holidays,nsw
17,20210126,Australia Day,Always celebrated on 26 January,https://www.nsw.gov.au/about-new-south-wales/public-holidays,nsw
18,20210402,Good Friday,Easter is celebrated with Good Friday and Easter Monday creating a 4 day long weekend.,https://www.nsw.gov.au/about-new-south-wales/public-holidays,nsw
19,20210403,Easter Saturday,Easter Saturday is between Good Friday and Easter Sunday in Australia.,https://www.nsw.gov.au/about-new-south-wales/public-holidays,nsw
20,20210404,Easter Sunday,Public Holiday as part of Easter.,https://www.nsw.gov.au/about-new-south-wales/public-holidays,nsw
21,20210405,Easter Monday,Public Holiday as part of Easter.,https://www.nsw.gov.au/about-new-south-wales/public-holidays,nsw
22,20210425,Anzac Day,Celebrated on the 25 April each year.,https://www.nsw.gov.au/about-new-south-wales/public-holidays,nsw
23,20210614,Queen's Birthday,Celebrated on second Monday in June except in Western Australia and Queensland.,https://www.nsw.gov.au/about-new-south-wales/public-holidays,nsw
24,20210802,Bank Holiday,"Applies to banks and certain financial institutions, per the Retail Trading Act 2008",https://www.nsw.gov.au/about-new-south-wales/public-holidays,nsw
25,20211004,Labour Day,"Always on a Monday, creating a long weekend. It celebrates the eight-hour working day, a victory for workers in the mid-late 19th century.",https://www.nsw.gov.au/about-new-south-wales/public-holidays,nsw
26,20211225,Christmas Day ,Christmas Day is an annual holiday which celebrates the birth of Jesus Christ over 2000 years ago.,https://www.nsw.gov.au/about-new-south-wales/public-holidays,nsw
27,20211226,Boxing Day,Boxing Day occurs the day after Christmas. Sydney-to-Hobart yacht race and Boxing Day Test Match (Cricket) start on this day.,https://www.nsw.gov.au/about-new-south-wales/public-holidays,nsw
28,20211227,Christmas (additional day),"As 25 December (Christmas Day) falls on a Saturday in 2021, there is an additional public holiday on the Monday.",https://www.nsw.gov.au/about-new-south-wales/public-holidays,nsw
29,20211228,Boxing Day (additional day),"As 26 December (Boxing Day) falls on a Sunday in 2021, there is an additional public holiday on the Tuesday.",https://www.nsw.gov.au/about-new-south-wales/public-holidays,nsw
30,20210101,New Year's Day,New Year's Day is the first day of the calendar year and is celebrated each January 1st,https://nt.gov.au/nt-public-holidays,nt
31,20210126,Australia Day,Always celebrated on 26 January,https://nt.gov.au/nt-public-holidays,nt
32,20210402,Good Friday,Easter is celebrated with Good Friday and Easter Monday creating a 4 day long weekend.,https://nt.gov.au/nt-public-holidays,nt
33,20210403,Easter Saturday,Easter Saturday is between Good Friday and Easter Sunday in Australia.,https://nt.gov.au/nt-public-holidays,nt
34,20210405,Easter Monday,Public Holiday as part of Easter.,https://nt.gov.au/nt-public-holidays,nt
35,20210426,Anzac Day,Celebrated on the 25 April each year.,https://nt.gov.au/nt-public-holidays,nt
36,20210503,May Day,"Always on a Monday, creating a long weekend. It celebrates the eight-hour working day, a victory for workers in the mid-late 19th century.",https://nt.gov.au/nt-public-holidays,nt
37,20210614,Queen's Birthday,Celebrated on second Monday in June except in Western Australia and Queensland.,https://nt.gov.au/nt-public-holidays,nt
38,20210802,Picnic Day,"Observed on the first Monday of August each year and is clebrated with a horse race, railway picnic and other social outings",https://nt.gov.au/nt-public-holidays,nt
39,20211224,Christmas Eve 7pm - Midnight,Part-day public holiday from 7pm-12 midnight,https://nt.gov.au/nt-public-holidays,nt
40,20211225,Christmas Day ,Christmas Day is an annual holiday which celebrates the birth of Jesus Christ over 2000 years ago.,https://nt.gov.au/nt-public-holidays,nt
41,20211226,Boxing Day,Boxing Day occurs the day after Christmas. Sydney-to-Hobart yacht race and Boxing Day Test Match (Cricket) start on this day.,https://nt.gov.au/nt-public-holidays,nt
42,20211227,Christmas (additional day),"As 25 December (Christmas Day) falls on a Saturday in 2021, there is an additional public holiday on the Monday.",https://nt.gov.au/nt-public-holidays,nt
43,20211228,Boxing Day (additional day),"As 26 December (Boxing Day) falls on a Sunday in 2021, there is an additional public holiday on the Tuesday.",https://nt.gov.au/nt-public-holidays,nt
44,20211231,New Year's Eve 7pm - Midnight,Part-day public holiday from 7pm-12 midnight,https://nt.gov.au/nt-public-holidays,nt
45,20210101,New Year's Day,New Year's Day is the first day of the calendar year and is celebrated each January 1st,https://www.qld.gov.au/recreation/travel/holidays/public,qld
46,20210126,Australia Day,Always celebrated on 26 January,https://www.qld.gov.au/recreation/travel/holidays/public,qld
47,20210402,Good Friday,Easter is celebrated with Good Friday and Easter Monday creating a 4 day long weekend.,https://www.qld.gov.au/recreation/travel/holidays/public,qld
48,20210403,The Day after Good Friday,Easter Saturday is between Good Friday and Easter Sunday in Australia.,https://www.qld.gov.au/recreation/travel/holidays/public,qld
