date,street,people_count
2022-06-03,Bourke Street Mall (North),18828
2022-06-02,Bourke Street Mall (North),15921
2022-06-02,Melbourne Central,19409
2022-06-02,Collins Place (North),6453
2022-06-02,Chinatown-Swanston St (North),8550
2022-06-02,QV Market-Peel St,2334
2022-06-02,Southern Cross Station,11342
2022-06-02,Spencer St-Collins St (North),18917
2022-06-01,QV Market-Peel St,1771
2022-06-01,Collins Place (North),3697
2022-06-01,Melbourne Central,15332
2022-06-01,Chinatown-Swanston St (North),7055
2022-06-01,Southern Cross Station,8936
2022-06-01,Spencer St-Collins St (North),19793
2022-06-01,Bourke Street Mall (North),10239
2022-05-31,Spencer St-Collins St (North),18784
2022-05-31,Southern Cross Station,11156
2022-05-31,QV Market-Peel St,2045
2022-05-31,Melbourne Central,16251
2022-05-31,Collins Place (North),5877
2022-05-31,Chinatown-Swanston St (North),5954
2022-05-31,Bourke Street Mall (North),11778
2022-05-30,Bourke Street Mall (North),10056
2022-05-30,Collins Place (North),3940
2022-05-30,Chinatown-Swanston St (North),6135
2022-05-30,Spencer St-Collins St (North),17073
2022-05-30,Melbourne Central,13673
2022-05-30,Southern Cross Station,7683
2022-05-30,QV Market-Peel St,1466
2022-05-29,Spencer St-Collins St (North),12830
2022-05-29,Southern Cross Station,1871
2022-05-29,QV Market-Peel St,3982
2022-05-29,Melbourne Central,22647
2022-05-29,Collins Place (North),1721
2022-05-29,Chinatown-Swanston St (North),10607
2022-05-29,Bourke Street Mall (North),17616
2022-05-28,Collins Place (North),2455
2022-05-28,Bourke Street Mall (North),22397
2022-05-28,Chinatown-Swanston St (North),14321
2022-05-28,Spencer St-Collins St (North),13647
2022-05-28,Melbourne Central,29510
2022-05-28,QV Market-Peel St,4230
2022-05-28,Southern Cross Station,2048
2022-05-27,Collins Place (North),5808
2022-05-27,Bourke Street Mall (North),17483
2022-05-27,Chinatown-Swanston St (North),11244
2022-05-27,Spencer St-Collins St (North),18969
2022-05-27,Melbourne Central,24642
2022-05-27,QV Market-Peel St,2855
2022-05-27,Southern Cross Station,9059
2022-05-26,Spencer St-Collins St (North),19688
2022-05-26,Southern Cross Station,11297
2022-05-26,QV Market-Peel St,2193
2022-05-26,Melbourne Central,19746
2022-05-26,Collins Place (North),6420
2022-05-26,Chinatown-Swanston St (North),7937
2022-05-26,Bourke Street Mall (North),15586
2022-05-25,Collins Place (North),6503
2022-05-25,Bourke Street Mall (North),15280
2022-05-25,Chinatown-Swanston St (North),7418
2022-05-25,Spencer St-Collins St (North),19016
2022-05-25,Melbourne Central,20231
2022-05-25,QV Market-Peel St,1937
2022-05-25,Southern Cross Station,11937
2022-05-24,Spencer St-Collins St (North),17685
2022-05-24,Southern Cross Station,12416
2022-05-24,QV Market-Peel St,2472
2022-05-24,Melbourne Central,19893
2022-05-24,Collins Place (North),6717
2022-05-24,Chinatown-Swanston St (North),7535
2022-05-24,Bourke Street Mall (North),14729
2022-05-23,Bourke Street Mall (North),13827
2022-05-23,Chinatown-Swanston St (North),7242
2022-05-23,Collins Place (North),5265
2022-05-23,Melbourne Central,18051
2022-05-23,QV Market-Peel St,1806
2022-05-23,Southern Cross Station,8020
2022-05-23,Spencer St-Collins St (North),16450
2022-05-22,Spencer St-Collins St (North),10725
2022-05-22,Southern Cross Station,1557
2022-05-22,QV Market-Peel St,3593
2022-05-22,Melbourne Central,22693
2022-05-22,Collins Place (North),1339
2022-05-22,Chinatown-Swanston St (North),10463
2022-05-22,Bourke Street Mall (North),16691
2022-05-21,Chinatown-Swanston St (North),13301
2022-05-21,Bourke Street Mall (North),22233
2022-05-21,Melbourne Central,28732
2022-05-21,Collins Place (North),2414
2022-05-21,QV Market-Peel St,4214
2022-05-21,Southern Cross Station,2484
2022-05-21,Spencer St-Collins St (North),14625
2022-05-20,Southern Cross Station,9300
2022-05-20,QV Market-Peel St,2585
2022-05-20,Melbourne Central,24904
2022-05-20,Collins Place (North),5549
2022-05-20,Chinatown-Swanston St (North),10835
2022-05-20,Bourke Street Mall (North),18007
2022-05-20,Spencer St-Collins St (North),20548
2022-05-19,Spencer St-Collins St (North),18457
2022-05-19,Southern Cross Station,11724
2022-05-19,QV Market-Peel St,2174
2022-05-19,Melbourne Central,20865
2022-05-19,Collins Place (North),6405
2022-05-19,Chinatown-Swanston St (North),8029
2022-05-19,Bourke Street Mall (North),15587
2022-05-18,Melbourne Central,19806
2022-05-18,Collins Place (North),6373
2022-05-18,Bourke Street Mall (North),14334
2022-05-18,Chinatown-Swanston St (North),7582
2022-05-18,Spencer St-Collins St (North),18197
2022-05-18,QV Market-Peel St,2050
2022-05-18,Southern Cross Station,12222
2022-05-17,Chinatown-Swanston St (North),7324
2022-05-17,QV Market-Peel St,2331
2022-05-17,Collins Place (North),6546
2022-05-17,Melbourne Central,19625
2022-05-17,Bourke Street Mall (North),14500
2022-05-17,Southern Cross Station,12217
2022-05-17,Spencer St-Collins St (North),18724
2022-05-16,QV Market-Peel St,1636
2022-05-16,Spencer St-Collins St (North),17389
2022-05-16,Southern Cross Station,8598
2022-05-16,Collins Place (North),4896
2022-05-16,Melbourne Central,17843
2022-05-16,Chinatown-Swanston St (North),6399
2022-05-16,Bourke Street Mall (North),13138
2022-05-15,Spencer St-Collins St (North),10920
2022-05-15,Southern Cross Station,1618
2022-05-15,QV Market-Peel St,3797
2022-05-15,Melbourne Central,26425
2022-05-15,Collins Place (North),1275
