,Product code,Bureau of Meteorology station number,Year,Month,Day,max_temp,Days of accumulation of maximum temperature,Quality,date
3126,IDCJAC0010,86338,2021,7,24,14.4,1.0,N,2021-07-24
3127,IDCJAC0010,86338,2021,7,25,13.0,1.0,N,2021-07-25
3128,IDCJAC0010,86338,2021,7,26,16.4,1.0,N,2021-07-26
3129,IDCJAC0010,86338,2021,7,27,17.1,1.0,N,2021-07-27
3130,IDCJAC0010,86338,2021,7,28,16.8,1.0,N,2021-07-28
3131,IDCJAC0010,86338,2021,7,29,15.4,1.0,N,2021-07-29
3132,IDCJAC0010,86338,2021,7,30,14.9,1.0,N,2021-07-30
3133,IDCJAC0010,86338,2021,7,31,18.1,1.0,N,2021-07-31
3134,IDCJAC0010,86338,2021,8,1,15.7,1.0,N,2021-08-01
3135,IDCJAC0010,86338,2021,8,2,15.4,1.0,N,2021-08-02
3136,IDCJAC0010,86338,2021,8,3,14.5,1.0,N,2021-08-03
3137,IDCJAC0010,86338,2021,8,4,14.5,1.0,N,2021-08-04
3138,IDCJAC0010,86338,2021,8,5,15.8,1.0,N,2021-08-05
3139,IDCJAC0010,86338,2021,8,6,14.2,1.0,N,2021-08-06
3140,IDCJAC0010,86338,2021,8,7,15.5,1.0,N,2021-08-07
3141,IDCJAC0010,86338,2021,8,8,16.4,1.0,N,2021-08-08
3142,IDCJAC0010,86338,2021,8,9,16.4,1.0,N,2021-08-09
3143,IDCJAC0010,86338,2021,8,10,17.7,1.0,N,2021-08-10
3144,IDCJAC0010,86338,2021,8,11,19.2,1.0,N,2021-08-11
3145,IDCJAC0010,86338,2021,8,12,16.6,1.0,N,2021-08-12
3146,IDCJAC0010,86338,2021,8,13,17.6,1.0,N,2021-08-13
3147,IDCJAC0010,86338,2021,8,14,18.4,1.0,N,2021-08-14
3148,IDCJAC0010,86338,2021,8,15,19.0,1.0,N,2021-08-15
3149,IDCJAC0010,86338,2021,8,16,14.4,1.0,N,2021-08-16
3150,IDCJAC0010,86338,2021,8,17,13.9,1.0,N,2021-08-17
3151,IDCJAC0010,86338,2021,8,18,15.5,1.0,Y,2021-08-18
3152,IDCJAC0010,86338,2021,8,19,17.4,1.0,N,2021-08-19
3153,IDCJAC0010,86338,2021,8,20,17.3,1.0,N,2021-08-20
3154,IDCJAC0010,86338,2021,8,21,20.0,1.0,N,2021-08-21
3155,IDCJAC0010,86338,2021,8,22,22.2,1.0,N,2021-08-22
3156,IDCJAC0010,86338,2021,8,23,14.3,1.0,N,2021-08-23
3157,IDCJAC0010,86338,2021,8,24,13.1,1.0,N,2021-08-24
3158,IDCJAC0010,86338,2021,8,25,14.1,1.0,N,2021-08-25
3159,IDCJAC0010,86338,2021,8,26,12.9,1.0,N,2021-08-26
3160,IDCJAC0010,86338,2021,8,27,13.6,1.0,N,2021-08-27
3161,IDCJAC0010,86338,2021,8,28,17.8,1.0,N,2021-08-28
3162,IDCJAC0010,86338,2021,8,29,16.2,1.0,N,2021-08-29
3163,IDCJAC0010,86338,2021,8,30,17.6,1.0,N,2021-08-30
3164,IDCJAC0010,86338,2021,8,31,20.1,1.0,N,2021-08-31
3165,IDCJAC0010,86338,2021,9,1,23.5,1.0,Y,2021-09-01
3166,IDCJAC0010,86338,2021,9,2,26.6,1.0,Y,2021-09-02
3167,IDCJAC0010,86338,2021,9,3,23.0,1.0,Y,2021-09-03
3168,IDCJAC0010,86338,2021,9,4,14.1,1.0,Y,2021-09-04
3169,IDCJAC0010,86338,2021,9,5,13.6,1.0,Y,2021-09-05
3170,IDCJAC0010,86338,2021,9,6,15.5,1.0,Y,2021-09-06
3171,IDCJAC0010,86338,2021,9,7,16.2,1.0,Y,2021-09-07
3172,IDCJAC0010,86338,2021,9,8,20.8,1.0,Y,2021-09-08
3173,IDCJAC0010,86338,2021,9,9,25.8,1.0,Y,2021-09-09
3174,IDCJAC0010,86338,2021,9,10,18.8,1.0,Y,2021-09-10
3175,IDCJAC0010,86338,2021,9,11,22.8,1.0,Y,2021-09-11
3176,IDCJAC0010,86338,2021,9,12,16.2,1.0,Y,2021-09-12
3177,IDCJAC0010,86338,2021,9,13,14.3,1.0,Y,2021-09-13
3178,IDCJAC0010,86338,2021,9,14,14.1,1.0,Y,2021-09-14
3179,IDCJAC0010,86338,2021,9,15,15.9,1.0,Y,2021-09-15
3180,IDCJAC0010,86338,2021,9,16,16.0,1.0,Y,2021-09-16
3181,IDCJAC0010,86338,2021,9,17,22.2,1.0,Y,2021-09-17
3182,IDCJAC0010,86338,2021,9,18,16.2,1.0,Y,2021-09-18
3183,IDCJAC0010,86338,2021,9,19,18.0,1.0,Y,2021-09-19
3184,IDCJAC0010,86338,2021,9,20,13.8,1.0,Y,2021-09-20
3185,IDCJAC0010,86338,2021,9,21,13.2,1.0,Y,2021-09-21
3186,IDCJAC0010,86338,2021,9,22,17.8,1.0,Y,2021-09-22
3187,IDCJAC0010,86338,2021,9,23,21.5,1.0,Y,2021-09-23
3188,IDCJAC0010,86338,2021,9,24,18.8,1.0,Y,2021-09-24
3189,IDCJAC0010,86338,2021,9,25,12.8,1.0,Y,2021-09-25
3190,IDCJAC0010,86338,2021,9,26,15.4,1.0,Y,2021-09-26
